Date,Open,High,Low,Close,Adj Close,Volume
2025-06-04,62.38,63.04,62.27,62.77,62.05,10242300
2025-06-05,62.94,63.66,62.23,62.67,61.95,12336300
2025-06-06,62.67,63.09,62.12,62.8,62.08,13299600
2025-06-09,63.3,63.49,61.88,61.91,61.2,11640000
2025-06-10,62.38,64.16,62.25,63.87,63.14,15287000
2025-06-11,64.4,64.85,62.58,63.11,62.39,10238700
2025-06-12,62.74,62.93,61.76,62.8,62.08,9830500
2025-06-13,61.75,62.78,60.11,60.53,59.84,16509700
2025-06-16,61.38,62.18,61.24,61.9,61.19,13681600
2025-06-17,61.3,61.3,59.68,60.0,59.31,13649700
2025-06-18,60.0,60.45,59.37,59.51,58.83,14194300
2025-06-20,59.75,60.04,59.19,59.79,59.1,19084000
2025-06-23,59.58,61.3,59.44,60.78,60.08,15921300
2025-06-24,61.33,61.98,60.48,61.42,60.71,12564000
2025-06-25,61.45,61.53,60.36,60.83,60.13,12186200
2025-06-26,61.56,62.73,60.82,62.54,61.82,39659800
2025-06-27,69.79,74.19,69.69,72.04,71.21,117530300
2025-06-30,71.45,71.71,70.06,71.04,70.22,31090400
2025-07-01,71.99,73.94,71.83,73.41,72.57,27512900
2025-07-02,73.17,76.84,73.0,76.39,75.51,36882300
2025-07-03,76.27,77.03,75.58,76.39,75.51,12022600
2025-07-07,76.04,77.5,75.85,76.53,75.65,17296900
2025-07-08,76.13,76.3,73.65,73.92,73.07,19572400
2025-07-09,74.13,74.92,73.42,73.56,72.72,12076700
2025-07-10,73.12,75.5,72.95,74.62,73.76,13033000
2025-07-11,73.69,73.84,72.4,72.63,71.8,12771400
2025-07-14,72.34,72.58,71.03,72.25,71.42,11385400
2025-07-15,72.26,72.88,71.58,71.99,71.16,9708300
2025-07-16,71.9,72.71,71.15,72.1,71.27,9008600
2025-07-17,72.12,73.21,72.04,72.98,72.14,9180400
2025-07-18,73.28,73.28,72.12,72.47,71.64,8801000
2025-07-21,72.93,74.81,72.91,74.02,73.17,12743900
2025-07-22,74.07,75.54,74.04,75.39,74.52,11297500
2025-07-23,76.15,77.21,75.82,76.75,75.87,16428100
2025-07-24,76.51,77.54,75.41,75.42,74.55,10037800
2025-07-25,75.91,76.57,75.53,76.27,75.39,7208400
2025-07-28,79.0,79.99,77.56,79.24,78.33,22631100
2025-07-29,78.76,79.37,77.76,78.33,77.43,12885500
2025-07-30,77.78,78.3,75.96,76.68,75.8,14601700
2025-07-31,76.35,76.4,74.31,74.69,73.83,16700000
2025-08-01,73.44,74.7,72.53,74.62,73.76,11911600
2025-08-04,75.03,75.26,74.16,74.82,73.96,8839000
2025-08-05,74.91,75.71,74.24,74.38,73.53,6533800
2025-08-06,74.47,75.98,74.25,75.48,74.61,7579800
2025-08-07,76.32,76.35,74.0,74.35,73.5,8717600
2025-08-08,74.2,74.96,73.39,74.19,73.34,6739000
2025-08-11,74.32,74.79,73.05,74.02,73.17,6985700
2025-08-12,74.72,75.72,74.34,74.9,74.04,6397700
2025-08-13,75.48,77.69,75.19,77.2,76.31,13472600
2025-08-14,75.91,76.6,75.35,76.39,75.51,7990500
2025-08-15,76.74,77.5,76.16,76.97,76.09,9767700
2025-08-18,77.11,78.26,76.85,77.43,76.54,9069100
2025-08-19,78.2,78.79,76.68,76.88,76.0,7684800
2025-08-20,76.69,77.56,76.16,76.26,75.38,6282600
2025-08-21,75.7,76.23,75.13,76.18,75.31,6354900
2025-08-22,76.54,79.14,76.25,78.38,77.48,10985900
2025-08-25,78.47,80.17,78.39,79.17,78.26,12488900
2025-08-26,79.0,79.48,78.38,78.65,77.75,6874800
2025-08-27,78.96,79.51,77.65,78.06,77.16,12636700
2025-08-28,78.58,78.66,77.72,77.92,77.03,7478600
2025-08-29,77.75,79.13,77.12,77.37,76.48,14208800
2025-09-02,75.64,76.05,74.0,74.29,73.82,15078700
2025-09-03,74.4,75.18,73.91,74.74,74.27,8300100
2025-09-04,74.75,75.77,74.51,75.35,74.87,11096200
2025-09-05,74.8,75.41,73.63,73.91,73.44,13758400
2025-09-08,74.26,74.58,73.71,74.15,73.68,13793300
2025-09-09,73.99,74.55,73.05,73.6,73.13,8740200
2025-09-10,75.25,75.46,73.33,74.25,73.78,11359300
2025-09-11,74.41,75.53,74.01,74.33,73.86,9803400
